"No.","Time","Source","Destination","Protocol","Length","Info"
"492","4980.306433395","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"493","5014.085508411","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=20553 Ack=6292 Win=64384 Len=376 TSval=2987635575 TSecr=3616854020"
"494","5014.085542424","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6292 Ack=20929 Win=64128 Len=0 TSval=3616892903 TSecr=2987635575"
"495","5075.048168005","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=6292 Ack=20929 Win=64128 Len=83 TSval=3616953866 TSecr=2987635575"
"496","5075.076064462","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=20929 Ack=6375 Win=64384 Len=72 TSval=2987696565 TSecr=3616953866"
"497","5075.076102492","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6375 Ack=21001 Win=64128 Len=0 TSval=3616953894 TSecr=2987696565"
"498","5080.144158484","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"499","5080.148181464","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"500","5083.613028043","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=21001 Ack=6375 Win=64384 Len=376 TSval=2987705102 TSecr=3616953894"
"501","5083.613060963","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6375 Ack=21377 Win=64128 Len=0 TSval=3616962431 TSecr=2987705102"
"502","5143.628177260","10.29.230.57","199.247.27.41","TCP","66","[TCP Keep-Alive] 39680  >  3333 [ACK] Seq=6374 Ack=21377 Win=64128 Len=0 TSval=3617022446 TSecr=2987705102"
"503","5143.655792925","199.247.27.41","10.29.230.57","TCP","66","[TCP Keep-Alive ACK] 3333  >  39680 [ACK] Seq=21377 Ack=6375 Win=64384 Len=0 TSval=2987765145 TSecr=3616962431"
"504","5144.059000363","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=6375 Ack=21377 Win=64128 Len=83 TSval=3617022877 TSecr=2987765145"
"505","5144.087871036","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=21377 Ack=6458 Win=64384 Len=72 TSval=2987765577 TSecr=3617022877"
"506","5144.087896814","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6458 Ack=21449 Win=64128 Len=0 TSval=3617022906 TSecr=2987765577"
"507","5204.300167788","10.29.230.57","199.247.27.41","TCP","66","[TCP Keep-Alive] 39680  >  3333 [ACK] Seq=6457 Ack=21449 Win=64128 Len=0 TSval=3617083118 TSecr=2987765577"
"508","5204.327939582","199.247.27.41","10.29.230.57","TCP","66","[TCP Keep-Alive ACK] 3333  >  39680 [ACK] Seq=21449 Ack=6458 Win=64384 Len=0 TSval=2987825817 TSecr=3617022906"
"509","5205.066433252","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=6458 Ack=21449 Win=64128 Len=83 TSval=3617083884 TSecr=2987825817"
"510","5205.094512400","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=21449 Ack=6541 Win=64384 Len=72 TSval=2987826583 TSecr=3617083884"
"511","5205.094537159","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6541 Ack=21521 Win=64128 Len=0 TSval=3617083912 TSecr=2987826583"
"512","5214.447151875","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=21521 Ack=6541 Win=64384 Len=376 TSval=2987835936 TSecr=3617083912"
"513","5214.447184318","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6541 Ack=21897 Win=64128 Len=0 TSval=3617093265 TSecr=2987835936"
"514","5257.027113954","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=21897 Ack=6541 Win=64384 Len=376 TSval=2987878516 TSecr=3617093265"
